epoch,top1,top5
5,1.404,5.080
10,6.818,18.226
15,15.024,33.126
20,24.806,47.336
25,33.470,58.434
30,40.084,65.540
35,45.016,70.400
40,48.328,73.516
45,50.570,75.758
50,52.472,77.350
55,53.994,78.420
60,55.230,79.376
65,56.288,80.160
70,57.000,80.998
75,57.592,81.572
80,58.272,81.976
85,58.882,82.370
90,59.318,82.780
95,59.766,83.214
100,60.264,83.476
105,60.630,83.886
110,61.066,84.198
115,61.560,84.624
120,61.954,84.954
125,62.512,85.218
130,62.864,85.390
135,63.182,85.706
140,63.590,85.988
145,63.810,86.204
150,64.084,86.390
155,64.390,86.572
160,64.774,86.792
165,65.152,87.014
170,65.430,87.174
175,65.742,87.330
180,65.998,87.526
185,66.302,87.690
190,66.598,87.840
195,66.812,87.962
200,67.030,88.154
205,67.316,88.344
210,67.550,88.494
215,67.800,88.706
220,68.018,88.866
225,68.252,88.972
230,68.514,89.052
235,68.802,89.188
240,68.974,89.280
245,69.152,89.444
250,69.358,89.508
255,69.526,89.630
260,69.622,89.668
265,69.754,89.746
270,69.858,89.768
275,69.976,89.850
280,70.106,89.878
285,70.236,89.958
290,70.260,90.004
295,70.286,89.976
300,70.276,90.052
